GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
CONGA Generator,io.wcm.devops.conga.generator.plugins.valueprovider,SystemPropertyValueProviderPlugin,0,11,0,0,0,4,0,3,0,3
CONGA Generator,io.wcm.devops.conga.generator.spi.handlebars.context,HelperContext,0,3,0,0,0,1,0,1,0,1
CONGA Generator,io.wcm.devops.conga.generator.spi.handlebars.context,EscapingStrategyContext,0,3,0,0,0,1,0,1,0,1
CONGA Generator,io.wcm.devops.conga.generator.spi.yaml.context,YamlRepresenter,7,6,0,0,2,2,1,1,1,1
CONGA Generator,io.wcm.devops.conga.generator.spi.yaml.context,YamlConstructorContext,11,0,0,0,4,0,3,0,3,0
CONGA Generator,io.wcm.devops.conga.generator.spi.yaml.context,YamlRepresentContext,11,0,0,0,4,0,3,0,3,0
CONGA Generator,io.wcm.devops.conga.generator.plugins.postprocessor,AbstractPostProcessor,4,81,6,8,2,20,6,7,0,6
CONGA Generator,io.wcm.devops.conga.generator,GeneratorOptions,40,111,0,0,16,40,8,27,8,27
CONGA Generator,io.wcm.devops.conga.generator,MessagePrefixLoggerFacade,480,9,0,0,112,4,62,1,62,1
CONGA Generator,io.wcm.devops.conga.generator,ContextPropertiesBuilder,0,399,1,21,0,85,1,15,0,5
CONGA Generator,io.wcm.devops.conga.generator,EnvironmentGenerator,109,818,11,51,23,161,12,35,1,15
CONGA Generator,io.wcm.devops.conga.generator,FileGenerator,129,924,26,50,26,191,24,58,2,42
CONGA Generator,io.wcm.devops.conga.generator,UrlFileManager,65,155,6,10,10,27,9,15,4,12
CONGA Generator,io.wcm.devops.conga.generator,GeneratorException,0,9,0,0,0,4,0,2,0,2
CONGA Generator,io.wcm.devops.conga.generator,ResourceLoaderUtil,34,99,2,6,8,22,2,5,0,3
CONGA Generator,io.wcm.devops.conga.generator,Generator,26,131,7,9,5,27,6,5,0,3
CONGA Generator,io.wcm.devops.conga.generator.spi,ImplicitApplyOptions,0,34,0,0,0,4,0,1,0,1
CONGA Generator,io.wcm.devops.conga.generator.spi,FileHeaderPlugin,2,2,0,0,1,1,1,1,1,1
CONGA Generator,io.wcm.devops.conga.generator.spi,UrlFilePlugin,28,2,0,0,4,1,4,1,4,1
CONGA Generator,io.wcm.devops.conga.generator.spi,ValidatorPlugin,0,2,0,0,0,1,0,1,0,1
CONGA Generator,io.wcm.devops.conga.generator.spi,ValidationException,4,5,0,0,2,2,1,1,1,1
CONGA Generator,io.wcm.devops.conga.generator.spi,PostProcessorPlugin,2,0,0,0,1,0,1,0,1,0
CONGA Generator,io.wcm.devops.conga.generator.spi.context,FileContext,6,50,0,0,2,17,2,10,2,10
CONGA Generator,io.wcm.devops.conga.generator.spi.context,ValueProviderContext,18,32,1,1,4,10,3,5,2,5
CONGA Generator,io.wcm.devops.conga.generator.spi.context,PluginContextOptions,3,79,0,0,1,26,1,13,1,13
CONGA Generator,io.wcm.devops.conga.generator.spi.context,FileHeaderContext,0,11,0,0,0,4,0,3,0,3
CONGA Generator,io.wcm.devops.conga.generator.spi.context,MultiplyContext,6,45,0,0,2,17,2,11,2,11
CONGA Generator,io.wcm.devops.conga.generator.spi.context,PostProcessorContext,0,11,0,0,0,4,0,3,0,3
CONGA Generator,io.wcm.devops.conga.generator.spi.context,ValueEncryptionContext,0,3,0,0,0,1,0,1,0,1
CONGA Generator,io.wcm.devops.conga.generator.spi.context,UrlFilePluginContext,3,43,0,0,1,14,1,8,1,8
CONGA Generator,io.wcm.devops.conga.generator.spi.context,ValidatorContext,3,8,0,0,1,3,1,2,1,2
CONGA Generator,io.wcm.devops.conga.generator.spi.context,AbstractPluginContext,16,20,0,0,4,6,4,4,4,4
CONGA Generator,io.wcm.devops.conga.generator.spi.context,ValueProviderGlobalContext,3,30,0,4,1,10,1,5,1,3
CONGA Generator,io.wcm.devops.conga.generator.export,NodeModelExport,6,217,5,11,2,56,5,7,0,4
CONGA Generator,io.wcm.devops.conga.generator.export,ModelExport,0,10,0,0,0,4,0,3,0,3
CONGA Generator,io.wcm.devops.conga.generator.plugins.multiply,NoneMultiply,0,9,0,0,0,3,0,3,0,3
CONGA Generator,io.wcm.devops.conga.generator.plugins.multiply,TenantMultiply,0,98,1,13,0,21,1,10,0,4
CONGA Generator,io.wcm.devops.conga.generator.plugins.fileheader,JsonFileHeader,0,27,0,0,0,7,0,7,0,7
CONGA Generator,io.wcm.devops.conga.generator.plugins.fileheader,UnixShellScriptFileHeader,2,30,1,1,1,8,1,7,0,7
CONGA Generator,io.wcm.devops.conga.generator.plugins.fileheader,WindowsShellScriptFileHeader,0,28,1,3,0,8,1,8,0,7
CONGA Generator,io.wcm.devops.conga.generator.plugins.fileheader,NoneFileHeader,2,9,0,0,1,4,1,4,1,4
